epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,110.719,0.86137,1.46445,0.98551,1,0.32337,0.68073,0.5975,0.99956,2.53003,1.0662,0.000122625,0.000122625,0.000122625
92,112.018,0.91947,1.39895,0.94443,1,0.37082,0.68885,0.59855,0.99578,2.43806,1.06512,0.000112726,0.000112726,0.000112726
93,113.184,1.00336,1.34305,0.98154,1,0.37082,0.68885,0.59855,0.99578,2.43806,1.06512,0.00010258,0.00010258,0.00010258
94,114.388,0.94626,1.26685,0.97119,1,0.37082,0.68885,0.59855,0.99578,2.43806,1.06512,9.21862e-05,9.21862e-05,9.21862e-05
95,115.524,0.94035,1.44069,0.98127,1,0.37082,0.68885,0.59855,0.99578,2.43806,1.06512,8.1545e-05,8.1545e-05,8.1545e-05
96,116.756,0.9305,1.42119,0.97847,0.94818,0.39286,0.69448,0.57518,0.98219,2.32623,1.04986,7.06563e-05,7.06563e-05,7.06563e-05
97,117.941,0.95422,1.48927,1.04426,0.94818,0.39286,0.69448,0.57518,0.98219,2.32623,1.04986,5.952e-05,5.952e-05,5.952e-05
98,119.21,1.15285,1.40359,1.08296,0.94818,0.39286,0.69448,0.57518,0.98219,2.32623,1.04986,4.81363e-05,4.81363e-05,4.81363e-05
99,120.482,0.95889,1.47521,1.03355,0.94818,0.39286,0.69448,0.57518,0.98219,2.32623,1.04986,3.6505e-05,3.6505e-05,3.6505e-05
100,121.587,1.05045,1.34451,1.06788,0.86205,0.66432,0.69906,0.57795,0.97828,2.17797,1.03435,2.46263e-05,2.46263e-05,2.46263e-05
